hoomie,real_estate_agent,Москва,sale,flat,20,1,43.09,20252300.0,Даниловский,Автозаводская ,26,Тульская,FORST
Место,real_estate_agent,Москва,sale,flat,9,1,32.9,8900000.0,Богородское,Краснобогатырская ,75К2,Преображенская площадь,
Пионер,developer,Москва,sale,flat,11,1,55.8,52675646.0,Даниловский,,,Павелецкая,Опус ЖК
Павел Михайлов,realtor,Москва,sale,flat,16,1,44.0,26296000.0,Раменки,проспект Генерала Дорохова,39к2Л,Минская,Собрание клубных домов West Garden
ID 96167522,realtor,Москва,sale,flat,9,1,37.0,7885000.0,Люблино, Верхние Поля,27С2,Братиславская,
Sminex,developer,Москва,sale,flat,26,1,35.67,21910000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,17,1,35.1,16800000.0,Ярославский,Ярославское шоссе,51,ВДНХ,Я51
Dream Realty,real_estate_agent,Москва,sale,flat,14,1,35.0,15000000.0,Гагаринский, Вавилова,52К4,Вавиловская,
Tekta Group,developer,Москва,sale,flat,34,1,31.2,15178800.0,Нагорный,,2,Нагорная,Твелв ЖК
BARNES International Realty,real_estate_agent,Москва,sale,flat,12,1,55.0,32500000.0,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Этажи Москва,real_estate_agent,Москва,sale,flat,9,1,36.2,18499000.0,Хамовники,3-я Фрунзенская ,15,Спортивная,
FORMA,developer,Москва,sale,flat,33,1,38.27,26322106.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic
Владислав Карпов,realtor,Москва,sale,flat,28,1,40.0,30500000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
Ирина Василевская,realtor,Москва,sale,flat,17,1,38.0,9350000.0,, Авиаконструктора Петлякова,7,Пыхтино,Солнцево парк
Донстрой,developer,Москва,sale,flat,21,1,37.7,19147830.0,Лефортово,,,Площадь Ильича,Символ ЖК
Marry Lane Group,real_estate_agent,Москва,sale,flat,44,1,48.1,25000000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
ID 88424902,unknown,Москва,sale,flat,5,1,40.0,9600000.0,, Жемчужная,1к4,Филатов Луг,
MR Group,developer,Москва,sale,flat,59,1,30.4,,Можайский,,,Давыдково,Веер ЖК
Romanov Estate,real_estate_agent,Москва,sale,flat,30,1,93.8,28999999.0,Щукино,проезд 4-й Красногорский,,Стрешнево,Moments
Homeapp,real_estate_agent,Москва,sale,flat,17,1,35.8,10399999.0,Марьино,Братиславская ,5,Братиславская,
COLDY,developer,Москва,sale,flat,15,1,30.8,26977720.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
Доступный дом,real_estate_agent,Москва,sale,flat,17,1,35.4,14990000.0,, Эдварда Грига,15,Потапово,
ID 51002482,realtor,Москва,sale,flat,5,1,30.6,11800000.0,Можайский, Гришина,25,Рабочий посёлок,
MR Group,developer,Москва,sale,flat,36,1,40.9,30348986.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
ID 13044325,unknown,Москва,sale,flat,32,1,37.35,17780000.0,Нижегородский,Газгольдерная ,10,Нижегородская,Profit
Plus Development,developer,Москва,sale,flat,23,1,43.0,9362820.0,,,,Филатов Луг,Детали ЖК
MR Group,developer,Москва,sale,flat,54,1,38.99,19328123.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Intermark Real Estate,real_estate_agent,Москва,sale,flat,14,1,35.0,13900000.0,Раменки,1-й Сетуньский проезд,10,Кутузовская,
ID 96167522,realtor,Москва,sale,flat,9,1,36.9,8850000.0,Люблино, Верхние Поля,27С2,Братиславская,
MR Group,developer,Москва,sale,flat,7,1,78.45,196125000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
Whitewill,real_estate_agent,Москва,sale,flat,79,1,72.0,70000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
do A.S.A.P.,real_estate_agent,Москва,sale,flat,19,1,47.0,13000000.0,Крюково,проспект Георгиевский,33к6,Зеленоград — Крюково,Жемчужина Зеленограда
PIONEER,developer,Москва,sale,flat,22,1,31.4,17903652.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
CENTURY 21 Столичная недвижимость,real_estate_agent,Москва,sale,flat,17,1,43.4,19100000.0,Даниловский,набережная Марка Шагала,15к1,Технопарк,Shagal
На Петровке,real_estate_agent,Москва,sale,flat,5,1,15.0,4950000.0,Пресненский,Стрельбищенский переулок,22А,Москва-Сити,
Пионер,developer,Москва,sale,flat,26,1,23.9,22602971.0,Даниловский,,,Павелецкая,Хай Лайф ЖК
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,22,1,43.0,19200000.0,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
ID 17498307,homeowner,Москва,sale,flat,10,1,40.4,28900000.0,Дорогомилово,Кутузовский проспект,30,Кутузовская,
Sense Development,developer,Москва,sale,flat,13,1,58.8,37642247.0,Даниловский, Даниловский Вал,1А,Тульская,Logos
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,22,1,43.0,19500000.0,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
Century21 Феникс,real_estate_agent,Москва,sale,flat,5,1,36.6,11450000.0,Останкинский,1-я Останкинская ,13/1,Телецентр,
КОРТРОС,developer,Москва,sale,flat,49,1,40.62,18197760.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
hoomie,real_estate_agent,Москва,sale,flat,20,1,39.74,16802072.0,Даниловский,Автозаводская ,26,Тульская,FORST
ИПОМАКС,real_estate_agent,Москва,sale,flat,16,1,45.0,7500000.0,,,23А,Апрелевка,
Capital Group,developer,Москва,sale,flat,18,1,48.3,58149819.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,34,1,64.4,51000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Концерн КРОСТ,developer,Москва,sale,flat,19,1,39.6,23760000.0,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
Whitewill,real_estate_agent,Москва,sale,flat,49,1,43.9,27800000.0,Раменки, Лобачевского,114с1,Аминьевская,Событие
Концерн КРОСТ,developer,Москва,sale,flat,6,1,39.0,23205000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
NIKA ESTATE,real_estate_agent,Москва,sale,flat,24,1,40.8,30000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская,Династия
РГ-Девелопмент,developer,Москва,sale,flat,30,1,41.9,10688690.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
Whitewill,real_estate_agent,Москва,sale,flat,48,1,55.5,33000000.0,Ростокино, Вильгельма Пика,3С1,Ботанический сад,Режиссёр
Sminex,developer,Москва,sale,flat,9,1,51.4,58100000.0,Пресненский,Электрический переулок,1с22,Белорусская,Элитный квартал Тишинский бульвар
ID 113495915,homeowner,Москва,sale,flat,12,1,39.1,12600000.0,Северное Тушино,Туристская ,17,Сходненская,
Донстрой,developer,Москва,sale,flat,22,1,37.5,22623750.0,Хорошево-Мневники,Жилой комплекс остров,3,Мнёвники,Остров
ID 17498307,homeowner,Москва,sale,flat,10,1,40.4,28900000.0,Дорогомилово,Кутузовский проспект,30,Кутузовская,
РГ-Девелопмент,developer,Москва,sale,flat,27,1,34.9,16984748.0,Щукино,,,Щукинская,Октябрьское Поле ЖК
Mikhail Uger,realtor,Москва,sale,flat,25,1,36.8,9900000.0,Чертаново Северное,Северное Чертаново мкр,7кБ,Чертановская,
Стадион Спартак,developer,Москва,sale,flat,13,1,47.0,23876000.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
Андрей Вдовин,realtor,Москва,sale,flat,15,1,31.9,11758286.0,Хорошевский,Ходынский бульвар,2,ЦСКА,Лайнер
Мангазея,developer,Москва,sale,flat,21,1,48.1,27019838.0,Щукино,Щукинская ,3,Щукинская,Интонация
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,5,1,31.0,18500000.0,Пресненский, Юлиуса Фучика,2/30,Маяковская,
MR Group,developer,Москва,sale,flat,47,1,35.17,19097029.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,24,1,39.1,19800000.0,Фили-Давыдково, Герасима Курина,18,Славянский бульвар,
Forma,developer,Москва,sale,flat,29,1,39.0,18203016.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
ID 81467774,homeowner,Москва,sale,flat,17,1,38.0,13700000.0,Свиблово,Вересковая ,1К1,Свиблово,
Regions Development,developer,Москва,sale,flat,6,1,40.3,,Нагатинский затон,проспект Андропова,9/1к3,Технопарк,Dream Towers
Intermark Real Estate,real_estate_agent,Москва,sale,flat,13,1,34.8,17500000.0,Даниловский,Подольское шоссе,3,Тульская,Logos
РГ-Девелопмент,developer,Москва,sale,flat,19,1,43.7,20889605.0,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
One Moscow,real_estate_agent,Москва,sale,flat,28,1,45.2,19900000.0,Даниловский,Автозаводская ,,ЗИЛ,Shagal
MR Group,developer,Москва,sale,flat,44,1,40.75,21801250.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod
ALVO Group,real_estate_agent,Москва,sale,flat,6,1,31.4,28500000.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,34,1,64.4,51000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
СОВКОМБАНК,official_representative,Москва,sale,flat,12,1,39.0,9600000.0,Гольяново,Уральская ,1,Щёлковская,
РГ-Девелопмент,developer,Москва,sale,flat,20,1,36.8,14028123.0,Головинский,Михалковская ,48С4,Коптево,Михалковский
NIKA ESTATE,real_estate_agent,Москва,sale,flat,24,1,40.8,30000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская,Династия
EstateLiga,real_estate_agent,Москва,sale,flat,15,1,54.0,14800000.0,, Татьянин Парк,14к2,Говорово,Татьянин Парк
Tekta Group,developer,Москва,sale,flat,27,1,28.1,19363710.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Whitewill,real_estate_agent,Москва,sale,flat,49,1,43.9,27800000.0,Раменки, Лобачевского,114с1,Аминьевская,Событие
do A.S.A.P.,real_estate_agent,Москва,sale,flat,14,1,35.0,13500000.0,Южнопортовый, Сайкина,7,Автозаводская,
Группа Родина,developer,Москва,sale,flat,23,1,43.8,22126280.0,Ростокино,,к6,Ботанический сад,Союз ЖК
Whitewill,real_estate_agent,Москва,sale,flat,48,1,55.5,33000000.0,Ростокино, Вильгельма Пика,3С1,Ботанический сад,Режиссёр
ID 93236063,homeowner,Москва,sale,flat,12,1,37.0,15890000.0,Академический, Винокурова,2,Академическая,
Аеон-Девелопмент,developer,Москва,sale,flat,46,1,42.5,30249760.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
ID 113495915,homeowner,Москва,sale,flat,12,1,39.1,12600000.0,Северное Тушино,Туристская ,17,Сходненская,
Homeapp,real_estate_agent,Москва,sale,flat,14,1,39.4,8750000.0,Крюково,Зеленоград,к1620,Зеленоград — Крюково,
Capital Group,developer,Москва,sale,flat,18,1,48.3,58149819.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Андрей Вдовин,realtor,Москва,sale,flat,15,1,31.9,11758286.0,Хорошевский,Ходынский бульвар,2,ЦСКА,Лайнер
The Smitt,real_estate_agent,Москва,sale,flat,9,1,32.7,7900000.0,Выхино-Жулебино,Ферганский проезд,7К1,Юго-Восточная,
Концерн КРОСТ,developer,Москва,sale,flat,19,1,39.6,23760000.0,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,5,1,31.0,18500000.0,Пресненский, Юлиуса Фучика,2/30,Маяковская,
Этажи Москва,real_estate_agent,Москва,sale,flat,19,1,35.5,11800000.0,,бульвар Андрея Тарковского,11,Рассказовка,Рассказово
Концерн КРОСТ,developer,Москва,sale,flat,6,1,39.0,23205000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
